"","facility","total","vaginal","vbac","cesarean","county","year"
"1753","Asante Three Rivers Medical Center",757,589,5,163,"Josephine County",2018
"1754","Rogue Birth Center",37,36,1,0,"Josephine County",2018
"1755","Home Birth (Planned)",23,23,0,0,"Josephine County",2018
"1756","Home Birth (Unplanned)",2,2,0,0,"Josephine County",2018
"1757","Other",2,2,0,0,"Josephine County",2018
"1758","Total births",728,533,9,186,"Klamath County",2018
"1759","Sky Lakes Medical Center",705,511,8,186,"Klamath County",2018
"1760","Klamath Womens Clinic & Birth Center",15,14,1,0,"Klamath County",2018
"1761","Home Birth (Planned)",8,8,0,0,"Klamath County",2018
"1762","Total births",62,43,0,19,"Lake County",2018
"1763","Lake District Hospital",61,42,0,19,"Lake County",2018
"1764","Home Birth (Unplanned)",1,1,0,0,"Lake County",2018
"1765","Total births",3591,2295,64,1232,"Lane County",2018
"1766","McKenzie-Willamette Medical Center",898,542,15,341,"Lane County",2018
"1767","Peace Harbor Medical Center",54,38,0,16,"Lane County",2018
"1768","Sacred Heart Medical Center - RiverBend",2498,1575,48,875,"Lane County",2018
"1769","PeaceHealth Medical Group Nurse Midwifery Birth Center",70,70,0,0,"Lane County",2018
"1770","Home Birth (Planned)",59,58,1,0,"Lane County",2018
"1771","Home Birth (Unplanned)",10,10,0,0,"Lane County",2018
"1772","Home Birth (Unknown if Planned)",1,1,0,0,"Lane County",2018
"1773","Other",1,1,0,0,"Lane County",2018
"1774","Total births",289,210,2,77,"Lincoln County",2018
"1775","Samaritan North Lincoln Hospital",101,70,1,30,"Lincoln County",2018
"1776","Samaritan Pacific Communities Hospital",182,134,1,47,"Lincoln County",2018
"1777","Home Birth (Planned)",5,5,0,0,"Lincoln County",2018
"1778","Other",1,1,0,0,"Lincoln County",2018
"1779","Total births",945,688,8,249,"Linn County",2018
"1780","Samaritan Albany General Hospital",560,384,0,176,"Linn County",2018
"1781","Samaritan Lebanon Community Hospital",306,232,1,73,"Linn County",2018
"1782","Growing Family Birth Center",33,30,3,0,"Linn County",2018
"1783","Home Birth (Planned)",41,37,4,0,"Linn County",2018
"1784","Home Birth (Unplanned)",2,2,0,0,"Linn County",2018
"1785","Home Birth (Unknown if Planned)",1,1,0,0,"Linn County",2018
"1786","Other",2,2,0,0,"Linn County",2018
"1787","Total births",416,299,0,117,"Malheur County",2018
"1788","St Alphonsus Medical Center - Ontario",413,296,0,117,"Malheur County",2018
"1789","Home Birth (Planned)",2,2,0,0,"Malheur County",2018
"1790","Other",1,1,0,0,"Malheur County",2018
"1791","Total births",4848,3419,103,1326,"Marion County",2018
"1792","Salem Hospital",3386,2312,67,1007,"Marion County",2018
"1793","Santiam Memorial Hospital",124,96,0,28,"Marion County",2018
"1794","Silverton Hospital",1217,896,30,291,"Marion County",2018
"1795","Aurora Birth Center",40,38,2,0,"Marion County",2018
"1796","Home Birth (Planned)",68,66,2,0,"Marion County",2018
"1797","Home Birth (Unplanned)",9,8,1,0,"Marion County",2018
"1798","Other",4,3,1,0,"Marion County",2018
"1799","Total births",10059,6722,390,2947,"Multnomah County",2018
"1800","Adventist Medical Center",777,531,14,232,"Multnomah County",2018
"1801","Legacy Emanuel Medical Center",1826,1098,80,648,"Multnomah County",2018
"1802","Legacy Good Samaritan Medical Center",984,674,11,299,"Multnomah County",2018
"1803","Legacy Mount Hood Medical Center",915,652,42,221,"Multnomah County",2018
"1804","OHSU Hospitals and Clinics",2291,1450,130,711,"Multnomah County",2018
"1805","Providence Portland Medical Center",2882,1943,103,836,"Multnomah County",2018
"1806","Alma Midwifery Services",43,38,5,0,"Multnomah County",2018
"1807","Andaluz Birth Center - Portland",112,110,2,0,"Multnomah County",2018
"1808","Women’s Healthcare Associates",71,71,0,0,"Multnomah County",2018
"1809","Home Birth (Planned)",145,142,3,0,"Multnomah County",2018
"1810","Home Birth (Unplanned)",9,9,0,0,"Multnomah County",2018
"1811","Home Birth (Unknown if Planned)",1,1,0,0,"Multnomah County",2018
"1812","Other",3,3,0,0,"Multnomah County",2018
"1813","Total births",17,16,1,0,"Polk County",2018
"1814","Home Birth (Planned)",16,15,1,0,"Polk County",2018
"1815","Home Birth (Unplanned)",1,1,0,0,"Polk County",2018
"1816","Total births",179,116,1,62,"Tillamook County",2018
"1817","Tillamook Regional Medical Center",176,113,1,62,"Tillamook County",2018
"1818","Home Birth (Planned)",3,3,0,0,"Tillamook County",2018
"1819","Total births",686,480,0,206,"Umatilla County",2018
"1820","Good Shepherd Medical Center",383,285,0,98,"Umatilla County",2018
"1821","St Anthony Hospital",297,189,0,108,"Umatilla County",2018
"1822","Home Birth (Planned)",3,3,0,0,"Umatilla County",2018
"1823","Home Birth (Unplanned)",1,1,0,0,"Umatilla County",2018
"1824","Other",2,2,0,0,"Umatilla County",2018
"1825","Total births",246,162,0,84,"Union County",2018
"1826","Grande Ronde Hospital",233,149,0,84,"Union County",2018
"1827","Home Birth (Planned)",13,13,0,0,"Union County",2018
"1828","Total births",53,35,1,17,"Wallowa County",2018
"1829","Wallowa Memorial Hospital",48,31,0,17,"Wallowa County",2018
"1830","Home Birth (Planned)",5,4,1,0,"Wallowa County",2018
"1831","Total births",264,187,1,76,"Wasco County",2018
"1832","Mid-Columbia Medical Center",257,181,0,76,"Wasco County",2018
"1833","Home Birth (Planned)",7,6,1,0,"Wasco County",2018
"1834","Total births",5830,4037,192,1601,"Washington County",2018
"1835","Providence St Vincent Medical Center",3618,2387,124,1107,"Washington County",2018
"1836","Tuality Community Hospital - Hillsboro",577,424,14,139,"Washington County",2018
"1837","Kaiser Foundation Hospital- Westside",1527,1125,47,355,"Washington County",2018
"1838","Canyon Medical Center",36,33,3,0,"Washington County",2018
"1839","Home Birth (Planned)",64,60,4,0,"Washington County",2018
"1840","Home Birth (Unplanned)",3,3,0,0,"Washington County",2018
"1841","Other",5,5,0,0,"Washington County",2018
"1842","Total births",1,1,0,0,"Wheeler County",2018
"1843","Home Birth (Planned)",1,1,0,0,"Wheeler County",2018
"1844","Total births",1009,759,20,230,"Yamhill County",2018
"1845","Providence Newberg Medical Center",494,363,6,125,"Yamhill County",2018
"1846","Willamette Valley Medical Center",427,310,12,105,"Yamhill County",2018
"1847","Andaluz Birth Center - Portland",1,1,0,0,"Yamhill County",2018
"1848","Bella Vie Gentle Birth Center",43,42,1,0,"Yamhill County",2018
"1849","Andaluz - Dundee",20,19,1,0,"Yamhill County",2018
"1850","Home Birth (Planned)",22,22,0,0,"Yamhill County",2018
"1851","Home Birth (Unplanned)",1,1,0,0,"Yamhill County",2018
"1852","Other",1,1,0,0,"Yamhill County",2018
"1853","Total births",42292,29437,1044,11811,"State total",2019
"1854","Total births",138,102,2,34,"Baker County",2019
"1855","St Alphonsus Medical Center - Baker City",134,99,1,34,"Baker County",2019
"1856","Home Birth (Planned)",3,2,1,0,"Baker County",2019
"1857","Home Birth (Unplanned)",1,1,0,0,"Baker County",2019
"1858","Total births",1062,789,37,236,"Benton County",2019
"1859","Good Samaritan Regional Medical Center",967,699,32,236,"Benton County",2019
"1860","Corvallis Birth and Women's Health Center LLC",77,75,2,0,"Benton County",2019
"1861","Home Birth (Planned)",16,13,3,0,"Benton County",2019
"1862","Home Birth (Unplanned)",1,1,0,0,"Benton County",2019
"1863","Other",1,1,0,0,"Benton County",2019
"1864","Total births",4172,2932,109,1131,"Clackamas County",2019
"1865","Kaiser Sunnyside Medical Center",2280,1587,66,627,"Clackamas County",2019
"1866","Legacy Meridian Park Medical Center",987,687,19,281,"Clackamas County",2019
"1867","Providence Willamette Falls Medical Center",816,569,24,223,"Clackamas County",2019
"1868","Home Birth (Planned)",86,86,0,0,"Clackamas County",2019
"1869","Home Birth (Unplanned)",3,3,0,0,"Clackamas County",2019
"1870","Total births",402,306,1,95,"Clatsop County",2019
"1871","Columbia Memorial Hospital",297,220,1,76,"Clatsop County",2019
"1872","Providence Seaside Hospital",92,73,0,19,"Clatsop County",2019
"1873","Home Birth (Planned)",12,12,0,0,"Clatsop County",2019
"1874","Home Birth (Unplanned)",1,1,0,0,"Clatsop County",2019
"1875","Total births",12,12,0,0,"Columbia County",2019
"1876","Home Birth (Planned)",11,11,0,0,"Columbia County",2019
"1877","Home Birth (Unplanned)",1,1,0,0,"Columbia County",2019
"1878","Total births",641,459,16,166,"Coos County",2019
"1879","Bay Area Hospital",632,450,16,166,"Coos County",2019
"1880","Home Birth (Planned)",6,6,0,0,"Coos County",2019
"1881","Home Birth (Unplanned)",1,1,0,0,"Coos County",2019
"1882","Other",2,2,0,0,"Coos County",2019
"1883","Total births",8,8,0,0,"Crook County",2019
"1884","St Charles Prineville",2,2,0,0,"Crook County",2019
"1885","Home Birth (Planned)",6,6,0,0,"Crook County",2019
"1886","Total births",7,7,0,0,"Curry County",2019
"1887","Curry General Hospital",1,1,0,0,"Curry County",2019
"1888","Home Birth (Planned)",4,4,0,0,"Curry County",2019
"1889","Home Birth (Unplanned)",2,2,0,0,"Curry County",2019
"1890","Total births",2246,1517,54,675,"Deschutes County",2019
"1891","St Charles Medical Center - Bend",1955,1279,52,624,"Deschutes County",2019
"1892","St Charles Medical Center - Redmond",223,172,0,51,"Deschutes County",2019
"1893","Bend Birth Center",7,7,0,0,"Deschutes County",2019
"1894","Home Birth (Planned)",57,55,2,0,"Deschutes County",2019
"1895","Home Birth (Unplanned)",3,3,0,0,"Deschutes County",2019
"1896","Other",1,1,0,0,"Deschutes County",2019
"1897","Total births",868,687,29,152,"Douglas County",2019
"1898","Mercy Medical Center, Inc",848,669,27,152,"Douglas County",2019
"1899","Home Birth (Planned)",14,13,1,0,"Douglas County",2019
"1900","Home Birth (Unplanned)",4,3,1,0,"Douglas County",2019
"1901","Other",2,2,0,0,"Douglas County",2019
"1902","Total births",2,2,0,0,"Gilliam County",2019
"1903","Home Birth (Planned)",2,2,0,0,"Gilliam County",2019
"1904","Total births",44,32,0,12,"Grant County",2019
"1905","Blue Mountain Hospital",42,30,0,12,"Grant County",2019
"1906","Home Birth (Planned)",2,2,0,0,"Grant County",2019
"1907","Total births",50,38,0,12,"Harney County",2019
"1908","Harney District Hospital",50,38,0,12,"Harney County",2019
"1909","Total births",412,327,2,83,"Hood River County",2019
"1910","Providence Hood River Memorial Hospital",403,318,2,83,"Hood River County",2019
"1911","Home Birth (Planned)",9,9,0,0,"Hood River County",2019
"1912","Total births",2326,1535,33,758,"Jackson County",2019
"1913","Asante Ashland Community Hospital",220,166,6,48,"Jackson County",2019
"1914","Providence Medford Medical Center",502,342,2,158,"Jackson County",2019
"1915","Asante Rogue Regional Medical Center",1542,968,22,552,"Jackson County",2019
"1916","Home Birth (Planned)",56,53,3,0,"Jackson County",2019
"1917","Home Birth (Unplanned)",3,3,0,0,"Jackson County",2019
"1918","Other",3,3,0,0,"Jackson County",2019
"1919","Total births",171,146,0,25,"Jefferson County",2019
"1920","St Charles - Madras",167,142,0,25,"Jefferson County",2019
"1921","Home Birth (Planned)",4,4,0,0,"Jefferson County",2019
"1922","Total births",793,607,1,185,"Josephine County",2019
"1923","Asante Three Rivers Medical Center",733,548,0,185,"Josephine County",2019
"1924","Rogue Birth Center, LLC",38,38,0,0,"Josephine County",2019
"1925","Home Birth (Planned)",21,20,1,0,"Josephine County",2019
"1926","Home Birth (Unplanned)",1,1,0,0,"Josephine County",2019
"1927","Total births",828,649,9,170,"Klamath County",2019
"1928","Sky Lakes Medical Center",802,624,8,170,"Klamath County",2019
"1929","Klamath Birth Center",15,14,1,0,"Klamath County",2019
"1930","Home Birth (Planned)",9,9,0,0,"Klamath County",2019
"1931","Home Birth (Unplanned)",1,1,0,0,"Klamath County",2019
"1932","Home Birth (Unknown if Planned)",1,1,0,0,"Klamath County",2019
"1933","Total births",68,48,0,20,"Lake County",2019
"1934","Lake District Hospital",67,47,0,20,"Lake County",2019
"1935","Home Birth (Planned)",1,1,0,0,"Lake County",2019
"1936","Total births",3553,2268,82,1203,"Lane County",2019
"1937","McKenzie-Willamette Medical Center",880,534,20,326,"Lane County",2019
"1938","Peace Harbor Medical Center",64,48,1,15,"Lane County",2019
"1939","Sacred Heart Medical Center - RiverBend",2489,1572,55,862,"Lane County",2019
"1940","PeaceHealth Medical Group Nurse Midwifery Birth Center",38,38,0,0,"Lane County",2019
"1941","Home Birth (Planned)",72,67,5,0,"Lane County",2019
"1942","Home Birth (Unplanned)",6,5,1,0,"Lane County",2019
"1943","Home Birth (Unknown if Planned)",1,1,0,0,"Lane County",2019
"1944","Other",3,3,0,0,"Lane County",2019
"1945","Total births",318,249,1,68,"Lincoln County",2019
"1946","Samaritan North Lincoln Hospital",111,77,0,34,"Lincoln County",2019
"1947","Samaritan Pacific Communities Hospital",199,165,0,34,"Lincoln County",2019
"1948","Home Birth (Planned)",7,6,1,0,"Lincoln County",2019
"1949","Other",1,1,0,0,"Lincoln County",2019
"1950","Total births",829,599,9,221,"Linn County",2019
"1951","Samaritan Albany General Hospital",499,344,0,155,"Linn County",2019
"1952","Samaritan Lebanon Community Hospital",259,192,1,66,"Linn County",2019
"1953","Growing Family Birth Center, LLC",19,17,2,0,"Linn County",2019
"1954","Home Birth (Planned)",49,44,5,0,"Linn County",2019
"1955","Home Birth (Unplanned)",3,2,1,0,"Linn County",2019
"1956","Total births",422,310,3,109,"Malheur County",2019
"1957","St Alphonsus Medical Center - Ontario, Inc",421,309,3,109,"Malheur County",2019
"1958","Home Birth (Planned)",1,1,0,0,"Malheur County",2019
"1959","Total births",4834,3395,104,1335,"Marion County",2019
"1960","Salem Hospital",3327,2237,63,1027,"Marion County",2019
"1961","Santiam Memorial Hospital",135,101,0,34,"Marion County",2019
"1962","Legacy Silverton Medical Center",1265,953,38,274,"Marion County",2019
"1963","Aurora Birth Center",32,31,1,0,"Marion County",2019
"1964","Believing in Birth Birth Center",5,5,0,0,"Marion County",2019
"1965","Home Birth (Planned)",62,62,0,0,"Marion County",2019
"1966","Home Birth (Unplanned)",7,5,2,0,"Marion County",2019
"1967","Other",1,1,0,0,"Marion County",2019
"1968","Total births",1,1,0,0,"Morrow County",2019
"1969","Home Birth (Planned)",1,1,0,0,"Morrow County",2019
"1970","Total births",9791,6603,344,2844,"Multnomah County",2019
"1971","Adventist Medical Center",743,539,8,196,"Multnomah County",2019
"1972","Legacy Emanuel Medical Center",1798,1063,82,653,"Multnomah County",2019
"1973","Legacy Good Samaritan Medical Center",1062,739,7,316,"Multnomah County",2019
"1974","Legacy Mount Hood Medical Center",920,659,27,234,"Multnomah County",2019
"1975","OHSU Hospitals and Clinics",2278,1432,130,716,"Multnomah County",2019
"1976","Providence Portland Medical Center",2605,1798,78,729,"Multnomah County",2019
"1977","Alma Midwifery Services, LLC",33,32,1,0,"Multnomah County",2019
"1978","Andaluz Birth Center - Portland",96,92,4,0,"Multnomah County",2019
"1979","Midwifery Birth Center",79,79,0,0,"Multnomah County",2019
"1980","Home Birth (Planned)",155,152,3,0,"Multnomah County",2019
"1981","Home Birth (Unplanned)",14,12,2,0,"Multnomah County",2019
"1982","Home Birth (Unknown if Planned)",1,1,0,0,"Multnomah County",2019
"1983","Other",7,5,2,0,"Multnomah County",2019
"1984","Total births",17,17,0,0,"Polk County",2019
"1985","Home Birth (Planned)",15,15,0,0,"Polk County",2019
"1986","Home Birth (Unplanned)",1,1,0,0,"Polk County",2019
"1987","Other",1,1,0,0,"Polk County",2019
"1988","Total births",1,1,0,0,"Sherman County",2019
"1989","Home Birth (Planned)",1,1,0,0,"Sherman County",2019
"1990","Total births",195,136,1,58,"Tillamook County",2019
"1991","Tillamook Regional Medical Center",188,129,1,58,"Tillamook County",2019
"1992","Home Birth (Planned)",7,7,0,0,"Tillamook County",2019
"1993","Total births",757,546,0,211,"Umatilla County",2019
"1994","Good Shepherd Medical Center",420,300,0,120,"Umatilla County",2019
"1995","St Anthony Hospital",332,241,0,91,"Umatilla County",2019
"1996","Home Birth (Planned)",1,1,0,0,"Umatilla County",2019
"1997","Home Birth (Unplanned)",1,1,0,0,"Umatilla County",2019
"1998","Home Birth (Unknown if Planned)",2,2,0,0,"Umatilla County",2019
"1999","Other",1,1,0,0,"Umatilla County",2019
"2000","Total births",236,148,5,83,"Union County",2019
"2001","Grande Ronde Hospital",221,134,4,83,"Union County",2019
"2002","Home Birth (Planned)",14,13,1,0,"Union County",2019
"2003","Home Birth (Unplanned)",1,1,0,0,"Union County",2019
"2004","Total births",59,37,2,20,"Wallowa County",2019
"2005","Wallowa Memorial Hospital",53,33,0,20,"Wallowa County",2019
"2006","Home Birth (Planned)",6,4,2,0,"Wallowa County",2019
"2007","Total births",258,206,0,52,"Wasco County",2019
"2008","Mid-Columbia Medical Center",253,201,0,52,"Wasco County",2019
"2009","Home Birth (Planned)",5,5,0,0,"Wasco County",2019
"2010","Total births",5796,3987,178,1631,"Washington County",2019
"2011","Providence St Vincent Medical Center",3548,2296,119,1133,"Washington County",2019
"2012","Tuality Community Hospital",581,443,14,124,"Washington County",2019
"2013","Kaiser Foundation Hospital - Westside",1553,1138,41,374,"Washington County",2019
"2014","Canyon Medical Center",41,41,0,0,"Washington County",2019
"2015","Home Birth (Planned)",58,55,3,0,"Washington County",2019
"2016","Home Birth (Unplanned)",11,10,1,0,"Washington County",2019
"2017","Other",4,4,0,0,"Washington County",2019
"2018","Total births",1,0,1,0,"Wheeler County",2019
"2019","Home Birth (Planned)",1,0,1,0,"Wheeler County",2019
"2020","Total births",974,731,21,222,"Yamhill County",2019
"2021","Providence Newberg Medical Center",468,363,10,95,"Yamhill County",2019
"2022","Willamette Valley Medical Center",419,285,7,127,"Yamhill County",2019
"2023","Bella Vie Gentle Birth Center",45,43,2,0,"Yamhill County",2019
"2024","Andaluz - Dundee",22,22,0,0,"Yamhill County",2019
"2025","Home Birth (Planned)",20,18,2,0,"Yamhill County",2019
"2026","Total births",40371,27821,931,11619,"State total",2020
"2027","Total births",105,87,0,18,"Baker County",2020
"2028","St Alphonsus Medical Center - Baker City, Inc",100,82,0,18,"Baker County",2020
"2029","Home Birth (Planned)",5,5,0,0,"Baker County",2020
"2030","Total births",991,730,40,221,"Benton County",2020
"2031","Good Samaritan Regional Medical Center",876,616,39,221,"Benton County",2020
"2032","Corvallis Birth and Women's Health Center LLC",100,99,1,0,"Benton County",2020
"2033","Home Birth (Planned)",14,14,0,0,"Benton County",2020
"2034","Home Birth (Unplanned)",1,1,0,0,"Benton County",2020
"2035","Total births",4103,2853,107,1143,"Clackamas County",2020
"2036","Kaiser Sunnyside Medical Center",2244,1558,55,631,"Clackamas County",2020
"2037","Legacy Meridian Park Medical Center",950,638,16,296,"Clackamas County",2020
"2038","Providence Milwaukie Hospital",1,1,0,0,"Clackamas County",2020
"2039","Providence Willamette Falls Medical Center",819,571,32,216,"Clackamas County",2020
"2040","Home Birth (Planned)",84,80,4,0,"Clackamas County",2020
"2041","Home Birth (Unplanned)",3,3,0,0,"Clackamas County",2020
"2042","Other",2,2,0,0,"Clackamas County",2020
"2043","Total births",380,293,1,86,"Clatsop County",2020
"2044","Columbia Memorial Hospital",284,215,0,69,"Clatsop County",2020
"2045","Providence Seaside Hospital",80,63,0,17,"Clatsop County",2020
"2046","Astoria Birth Center LLC",5,5,0,0,"Clatsop County",2020
"2047","Home Birth (Planned)",11,10,1,0,"Clatsop County",2020
"2048","Total births",7,7,0,0,"Columbia County",2020
"2049","Home Birth (Planned)",6,6,0,0,"Columbia County",2020
"2050","Clinic/Doctor's Office",1,1,0,0,"Columbia County",2020
"2051","Total births",648,466,12,170,"Coos County",2020
"2052","Bay Area Hospital",638,456,12,170,"Coos County",2020
"2053","Home Birth (Planned)",5,5,0,0,"Coos County",2020
"2054","Home Birth (Unplanned)",3,3,0,0,"Coos County",2020
"2055","Other",2,2,0,0,"Coos County",2020
"2056","Total births",15,13,2,0,"Crook County",2020
"2057","St Charles Prineville",4,3,1,0,"Crook County",2020
"2058","Home Birth (Planned)",10,9,1,0,"Crook County",2020
"2059","Home Birth (Unplanned)",1,1,0,0,"Crook County",2020
"2060","Total births",6,6,0,0,"Curry County",2020
"2061","Curry General Hospital",1,1,0,0,"Curry County",2020
"2062","Home Birth (Planned)",5,5,0,0,"Curry County",2020
"2063","Total births",2231,1504,29,698,"Deschutes County",2020
"2064","St Charles Medical Center - Bend",2110,1385,27,698,"Deschutes County",2020
"2065","St Charles Medical Center - Redmond",2,2,0,0,"Deschutes County",2020
"2066","Bend Birth Center",8,8,0,0,"Deschutes County",2020
"2067","Home Birth (Planned)",104,102,2,0,"Deschutes County",2020
"2068","Home Birth (Unplanned)",7,7,0,0,"Deschutes County",2020
"2069","Total births",874,711,23,140,"Douglas County",2020
"2070","Lower Umpqua Hospital District",1,1,0,0,"Douglas County",2020
"2071","Mercy Medical Center",850,689,21,140,"Douglas County",2020
"2072","Home Birth (Planned)",22,20,2,0,"Douglas County",2020
"2073","Home Birth (Unplanned)",1,1,0,0,"Douglas County",2020
"2074","Total births",27,19,0,8,"Grant County",2020
"2075","Blue Mountain Hospital",23,15,0,8,"Grant County",2020
"2076","Home Birth (Planned)",3,3,0,0,"Grant County",2020
"2077","Other",1,1,0,0,"Grant County",2020
"2078","Total births",49,39,0,10,"Harney County",2020
"2079","Harney District Hospital",49,39,0,10,"Harney County",2020
"2080","Total births",389,283,2,104,"Hood River County",2020
"2081","Providence Hood River Memorial Hospital",381,275,2,104,"Hood River County",2020
"2082","Home Birth (Planned)",8,8,0,0,"Hood River County",2020
"2083","Total births",2291,1459,46,786,"Jackson County",2020
"2084","Asante Ashland Community Hospital",217,158,1,58,"Jackson County",2020
"2085","Providence Medford Medical Center",405,287,0,118,"Jackson County",2020
"2086","Asante Rogue Regional Medical Center",1608,954,44,610,"Jackson County",2020
"2087","Home Birth (Planned)",51,50,1,0,"Jackson County",2020
"2088","Home Birth (Unplanned)",5,5,0,0,"Jackson County",2020
"2089","Other",5,5,0,0,"Jackson County",2020
"2090","Total births",174,144,1,29,"Jefferson County",2020
"2091","St Charles - Madras",168,138,1,29,"Jefferson County",2020
"2092","Home Birth (Planned)",6,6,0,0,"Jefferson County",2020
"2093","Total births",756,608,3,145,"Josephine County",2020
"2094","Asante Three Rivers Medical Center",688,541,2,145,"Josephine County",2020
"2095","Rogue Birth Center, LLC",51,50,1,0,"Josephine County",2020
"2096","Home Birth (Planned)",16,16,0,0,"Josephine County",2020
"2097","Home Birth (Unknown if Planned)",1,1,0,0,"Josephine County",2020
"2098","Total births",743,539,2,202,"Klamath County",2020
"2099","Sky Lakes Medical Center",723,519,2,202,"Klamath County",2020
"2100","Klamath Birth Center",11,11,0,0,"Klamath County",2020
"2101","Home Birth (Planned)",8,8,0,0,"Klamath County",2020
"2102","Home Birth (Unplanned)",1,1,0,0,"Klamath County",2020
"2103","Total births",74,50,0,24,"Lake County",2020
"2104","Lake District Hospital",72,48,0,24,"Lake County",2020
"2105","Home Birth (Planned)",1,1,0,0,"Lake County",2020
"2106","Home Birth (Unplanned)",1,1,0,0,"Lake County",2020
"2107","Total births",3254,2053,51,1150,"Lane County",2020
"2108","McKenzie-Willamette Medical Center",831,507,11,313,"Lane County",2020
"2109","Peace Harbor Medical Center",51,39,0,12,"Lane County",2020
"2110","Sacred Heart Medical Center - RiverBend",2267,1402,40,825,"Lane County",2020
"2111","Home Birth (Planned)",94,94,0,0,"Lane County",2020
"2112","Home Birth (Unplanned)",8,8,0,0,"Lane County",2020
"2113","Home Birth (Unknown if Planned)",1,1,0,0,"Lane County",2020
"2114","Other",2,2,0,0,"Lane County",2020
"2115","Total births",301,211,0,90,"Lincoln County",2020
"2116","Samaritan North Lincoln Hospital",118,83,0,35,"Lincoln County",2020
"2117","Samaritan Pacific Communities Hospital",169,114,0,55,"Lincoln County",2020
"2118","Home Birth (Planned)",11,11,0,0,"Lincoln County",2020
"2119","Home Birth (Unplanned)",1,1,0,0,"Lincoln County",2020
"2120","Other",2,2,0,0,"Lincoln County",2020
"2121","Total births",857,606,5,246,"Linn County",2020
"2122","Samaritan Albany General Hospital",469,301,0,168,"Linn County",2020
"2123","Samaritan Lebanon Community Hospital",306,226,2,78,"Linn County",2020
"2124","Growing Family Birth Center, LLC",25,25,0,0,"Linn County",2020
"2125","Home Birth (Planned)",50,47,3,0,"Linn County",2020
"2126","Home Birth (Unplanned)",6,6,0,0,"Linn County",2020
"2127","Home Birth (Unknown if Planned)",1,1,0,0,"Linn County",2020
"2128","Total births",442,328,2,112,"Malheur County",2020
"2129","St Alphonsus Medical Center - Ontario, Inc",432,320,0,112,"Malheur County",2020
"2130","Home Birth (Planned)",9,7,2,0,"Malheur County",2020
"2131","Home Birth (Unplanned)",1,1,0,0,"Malheur County",2020
"2132","Total births",4585,3193,108,1284,"Marion County",2020
"2133","Salem Hospital",3066,2024,74,968,"Marion County",2020
"2134","Santiam Memorial Hospital",189,153,1,35,"Marion County",2020
"2135","Legacy Silverton Medical Center",1184,874,29,281,"Marion County",2020
"2136","Aurora Birth Center",48,47,1,0,"Marion County",2020
"2137","Believing in Birth Birth Center",2,2,0,0,"Marion County",2020
"2138","Home Birth (Planned)",89,86,3,0,"Marion County",2020
"2139","Home Birth (Unplanned)",3,3,0,0,"Marion County",2020
"2140","Other",4,4,0,0,"Marion County",2020
"2141","Total births",9140,6032,303,2805,"Multnomah County",2020
"2142","Adventist Medical Center",583,387,10,186,"Multnomah County",2020
"2143","Legacy Emanuel Medical Center",1660,975,48,637,"Multnomah County",2020
"2144","Legacy Good Samaritan Medical Center",909,596,8,305,"Multnomah County",2020
"2145","Legacy Mount Hood Medical Center",752,536,21,195,"Multnomah County",2020
"2146","OHSU Hospitals and Clinics",2224,1371,105,748,"Multnomah County",2020
"2147","Providence Portland Medical Center",2532,1706,92,734,"Multnomah County",2020
"2148","Alma Midwifery Services, LLC",62,60,2,0,"Multnomah County",2020
"2149","Andaluz Birth Center - Portland",116,107,9,0,"Multnomah County",2020
"2150","Midwifery Birth Center",129,129,0,0,"Multnomah County",2020
"2151","Home Birth (Planned)",158,151,7,0,"Multnomah County",2020
"2152","Home Birth (Unplanned)",8,7,1,0,"Multnomah County",2020
"2153","Home Birth (Unknown if Planned)",1,1,0,0,"Multnomah County",2020
"2154","Other",6,6,0,0,"Multnomah County",2020
"2155","Total births",17,17,0,0,"Polk County",2020
"2156","Home Birth (Planned)",16,16,0,0,"Polk County",2020
"2157","Home Birth (Unplanned)",1,1,0,0,"Polk County",2020
"2158","Total births",1,1,0,0,"Sherman County",2020
"2159","Home Birth (Planned)",1,1,0,0,"Sherman County",2020
"2160","Total births",196,132,1,63,"Tillamook County",2020
"2161","Tillamook Regional Medical Center",187,124,0,63,"Tillamook County",2020
"2162","Home Birth (Planned)",8,7,1,0,"Tillamook County",2020
"2163","Home Birth (Unplanned)",1,1,0,0,"Tillamook County",2020
"2164","Total births",697,512,3,182,"Umatilla County",2020
"2165","Good Shepherd Medical Center",370,278,2,90,"Umatilla County",2020
"2166","St Anthony Hospital",321,228,1,92,"Umatilla County",2020
"2167","Home Birth (Planned)",4,4,0,0,"Umatilla County",2020
"2168","Home Birth (Unplanned)",1,1,0,0,"Umatilla County",2020
"2169","Other",1,1,0,0,"Umatilla County",2020
"2170","Total births",235,161,0,74,"Union County",2020
"2171","Grande Ronde Hospital",226,152,0,74,"Union County",2020
"2172","Home Birth (Planned)",9,9,0,0,"Union County",2020
"2173","Total births",41,24,0,17,"Wallowa County",2020
"2174","Wallowa Memorial Hospital",37,20,0,17,"Wallowa County",2020
"2175","Home Birth (Planned)",4,4,0,0,"Wallowa County",2020
"2176","Total births",225,175,0,50,"Wasco County",2020
"2177","Mid-Columbia Medical Center",219,169,0,50,"Wasco County",2020
"2178","Home Birth (Planned)",4,4,0,0,"Wasco County",2020
"2179","Home Birth (Unplanned)",1,1,0,0,"Wasco County",2020
