facility,total,vaginal,vbac,cesarean,county,year
Total Births,380,293,1,86,Clatsop County,2020
Columbia Memorial Hospital,284,215,0,69,Clatsop County,2020
Providence Seaside Hospital,80,63,0,17,Clatsop County,2020
Astoria Birth Center LLC,5,5,0,0,Clatsop County,2020
Home Birth (Planned),11,10,1,0,Clatsop County,2020
Total Births,7,7,0,0,Columbia County,2020
Home Birth (Planned),6,6,0,0,Columbia County,2020
Clinic/Doctor's Office,1,1,0,0,Columbia County,2020
Total Births,648,466,12,170,Coos County,2020
Bay Area Hospital,638,456,12,170,Coos County,2020
Home Birth (Planned),5,5,0,0,Coos County,2020
Home Birth (Unplanned),3,3,0,0,Coos County,2020
Other,2,2,0,0,Coos County,2020
Total Births,15,13,2,0,Crook County,2020
St Charles Prineville,4,3,1,0,Crook County,2020
Home Birth (Planned),10,9,1,0,Crook County,2020
Home Birth (Unplanned),1,1,0,0,Crook County,2020
Total Births,6,6,0,0,Curry County,2020
Curry General Hospital,1,1,0,0,Curry County,2020
Home Birth (Planned),5,5,0,0,Curry County,2020
Total Births,2231,1504,29,698,Deschutes County,2020
St Charles Medical Center - Bend,2110,1385,27,698,Deschutes County,2020
St Charles Medical Center - Redmond,2,2,0,0,Deschutes County,2020
Bend Birth Center,8,8,0,0,Deschutes County,2020
Home Birth (Planned),104,102,2,0,Deschutes County,2020
Home Birth (Unplanned),7,7,0,0,Deschutes County,2020
Total Births,874,711,23,140,Douglas County,2020
Lower Umpqua Hospital District,1,1,0,0,Douglas County,2020
Mercy Medical Center,850,689,21,140,Douglas County,2020
Home Birth (Planned),22,20,2,0,Douglas County,2020
Home Birth (Unplanned),1,1,0,0,Douglas County,2020
Total Births,27,19,0,8,Grant County,2020
Blue Mountain Hospital,23,15,0,8,Grant County,2020
Home Birth (Planned),3,3,0,0,Grant County,2020
Other,1,1,0,0,Grant County,2020
Total Births,49,39,0,10,Harney County,2020
Harney District Hospital,49,39,0,10,Harney County,2020
Total Births,389,283,2,104,Hood River County,2020
Providence Hood River Memorial Hospital,381,275,2,104,Hood River County,2020
Home Birth (Planned),8,8,0,0,Hood River County,2020
Total Births,2291,1459,46,786,Jackson County,2020
Asante Ashland Community Hospital,217,158,1,58,Jackson County,2020
Providence Medford Medical Center,405,287,0,118,Jackson County,2020
Asante Rogue Regional Medical Center,1608,954,44,610,Jackson County,2020
Home Birth (Planned),51,50,1,0,Jackson County,2020
Home Birth (Unplanned),5,5,0,0,Jackson County,2020
Other,5,5,0,0,Jackson County,2020
Total Births,174,144,1,29,Jefferson County,2020
St Charles - Madras,168,138,1,29,Jefferson County,2020
Home Birth (Planned),6,6,0,0,Jefferson County,2020
Total Births,756,608,3,145,Josephine County,2020
Asante Three Rivers Medical Center,688,541,2,145,Josephine County,2020
"Rogue Birth Center, LLC",51,50,1,0,Josephine County,2020
Home Birth (Planned),16,16,0,0,Josephine County,2020
Home Birth (Unknown if Planned),1,1,0,0,Josephine County,2020
Total Births,743,539,2,202,Klamath County,2020
Sky Lakes Medical Center,723,519,2,202,Klamath County,2020
Klamath Birth Center,11,11,0,0,Klamath County,2020
Home Birth (Planned),8,8,0,0,Klamath County,2020
Home Birth (Unplanned),1,1,0,0,Klamath County,2020
Total Births,74,50,0,24,Lake County,2020
Lake District Hospital,72,48,0,24,Lake County,2020
Home Birth (Planned),1,1,0,0,Lake County,2020
Home Birth (Unplanned),1,1,0,0,Lake County,2020
Total Births,3254,2053,51,1150,Lane County,2020
McKenzie-Willamette Medical Center,831,507,11,313,Lane County,2020
Peace Harbor Medical Center,51,39,0,12,Lane County,2020
Sacred Heart Medical Center - RiverBend,2267,1402,40,825,Lane County,2020
Home Birth (Planned),94,94,0,0,Lane County,2020
Home Birth (Unplanned),8,8,0,0,Lane County,2020
Home Birth (Unknown if Planned),1,1,0,0,Lane County,2020
Other,2,2,0,0,Lane County,2020
Total Births,301,211,0,90,Lincoln County,2020
Samaritan North Lincoln Hospital,118,83,0,35,Lincoln County,2020
Samaritan Pacific Communities Hospital,169,114,0,55,Lincoln County,2020
Home Birth (Planned),11,11,0,0,Lincoln County,2020
Home Birth (Unplanned),1,1,0,0,Lincoln County,2020
Other,2,2,0,0,Lincoln County,2020
Total Births,857,606,5,246,Linn County,2020
Samaritan Albany General Hospital,469,301,0,168,Linn County,2020
Samaritan Lebanon Community Hospital,306,226,2,78,Linn County,2020
"Growing Family Birth Center, LLC",25,25,0,0,Linn County,2020
Home Birth (Planned),50,47,3,0,Linn County,2020
Home Birth (Unplanned),6,6,0,0,Linn County,2020
Home Birth (Unknown if Planned),1,1,0,0,Linn County,2020
Total Births,442,328,2,112,Malheur County,2020
"St Alphonsus Medical Center - Ontario, Inc",432,320,0,112,Malheur County,2020
Home Birth (Planned),9,7,2,0,Malheur County,2020
Home Birth (Unplanned),1,1,0,0,Malheur County,2020
Total Births,4585,3193,108,1284,Marion County,2020
Salem Hospital,3066,2024,74,968,Marion County,2020
Santiam Memorial Hospital,189,153,1,35,Marion County,2020
Legacy Silverton Medical Center,1184,874,29,281,Marion County,2020
Aurora Birth Center,48,47,1,0,Marion County,2020
Believing in Birth Birth Center,2,2,0,0,Marion County,2020
Home Birth (Planned),89,86,3,0,Marion County,2020
Home Birth (Unplanned),3,3,0,0,Marion County,2020
Other,4,4,0,0,Marion County,2020
Total Births,9140,6032,303,2805,Multnomah County,2020
Adventist Medical Center,583,387,10,186,Multnomah County,2020
Legacy Emanuel Medical Center,1660,975,48,637,Multnomah County,2020
Legacy Good Samaritan Medical Center,909,596,8,305,Multnomah County,2020
Legacy Mount Hood Medical Center,752,536,21,195,Multnomah County,2020
OHSU Hospitals and Clinics,2224,1371,105,748,Multnomah County,2020
Providence Portland Medical Center,2532,1706,92,734,Multnomah County,2020
"Alma Midwifery Services, LLC",62,60,2,0,Multnomah County,2020
Andaluz Birth Center - Portland,116,107,9,0,Multnomah County,2020
Midwifery Birth Center,129,129,0,0,Multnomah County,2020
Home Birth (Planned),158,151,7,0,Multnomah County,2020
Home Birth (Unplanned),8,7,1,0,Multnomah County,2020
Home Birth (Unknown if Planned),1,1,0,0,Multnomah County,2020
Other,6,6,0,0,Multnomah County,2020
Total Births,17,17,0,0,Polk County,2020
Home Birth (Planned),16,16,0,0,Polk County,2020
Home Birth (Unplanned),1,1,0,0,Polk County,2020
Total Births,1,1,0,0,Sherman County,2020
Home Birth (Planned),1,1,0,0,Sherman County,2020
Total Births,196,132,1,63,Tillamook County,2020
Tillamook Regional Medical Center,187,124,0,63,Tillamook County,2020
Home Birth (Planned),8,7,1,0,Tillamook County,2020
Home Birth (Unplanned),1,1,0,0,Tillamook County,2020
Total Births,697,512,3,182,Umatilla County,2020
Good Shepherd Medical Center,370,278,2,90,Umatilla County,2020
St Anthony Hospital,321,228,1,92,Umatilla County,2020
Home Birth (Planned),4,4,0,0,Umatilla County,2020
Home Birth (Unplanned),1,1,0,0,Umatilla County,2020
Other,1,1,0,0,Umatilla County,2020
Total Births,235,161,0,74,Union County,2020
Grande Ronde Hospital,226,152,0,74,Union County,2020
Home Birth (Planned),9,9,0,0,Union County,2020
Total Births,41,24,0,17,Wallowa County,2020
Wallowa Memorial Hospital,37,20,0,17,Wallowa County,2020
Home Birth (Planned),4,4,0,0,Wallowa County,2020
Total Births,225,175,0,50,Wasco County,2020
Mid-Columbia Medical Center,219,169,0,50,Wasco County,2020
Home Birth (Planned),4,4,0,0,Wasco County,2020
Home Birth (Unplanned),1,1,0,0,Wasco County,2020
Other,1,1,0,0,Wasco County,2020
Total Births,5618,3886,164,1568,Washington County,2020
Providence St Vincent Medical Center,3503,2316,104,1083,Washington County,2020
Tuality Community Hospital,578,423,14,141,Washington County,2020
Kaiser Foundation Hospital - Westside,1434,1047,43,344,Washington County,2020
Canyon Medical Center,39,38,1,0,Washington County,2020
Home Birth (Planned),56,55,1,0,Washington County,2020
Home Birth (Unplanned),6,5,1,0,Washington County,2020
Other,2,2,0,0,Washington County,2020
Total Births,899,679,26,194,Yamhill County,2020
Providence Newberg Medical Center,442,339,8,95,Yamhill County,2020
Willamette Valley Medical Center,360,252,9,99,Yamhill County,2020
Bella Vie Gentle Birth Center,43,41,2,0,Yamhill County,2020
Andaluz - Dundee,34,28,6,0,Yamhill County,2020
Home Birth (Planned),20,19,1,0,Yamhill County,2020
Total Births,41644,28526,1005,12113,State Total,2021
Total Births,118,92,1,25,Baker County,2021
"St Alphonsus Medical Center - Baker City, Inc",112,87,0,25,Baker County,2021
Home Birth (Planned),5,5,0,0,Baker County,2021
Home Birth (Unknown if Planned),1,0,1,0,Baker County,2021
Total Births,992,726,36,230,Benton County,2021
Good Samaritan Regional Medical Center,875,611,34,230,Benton County,2021
Corvallis Birth and Women's Health Center LLC,96,95,1,0,Benton County,2021
Home Birth (Planned),17,16,1,0,Benton County,2021
Home Birth (Unplanned),3,3,0,0,Benton County,2021
Other,1,1,0,0,Benton County,2021
Total Births,4179,2984,91,1104,Clackamas County,2021
Kaiser Sunnyside Medical Center,2330,1681,45,604,Clackamas County,2021
Legacy Meridian Park Medical Center,971,632,22,317,Clackamas County,2021
Providence Willamette Falls Medical Center,754,550,21,183,Clackamas County,2021
Home Birth (Planned),108,108,0,0,Clackamas County,2021
Home Birth (Unplanned),13,10,3,0,Clackamas County,2021
Other,3,3,0,0,Clackamas County,2021
Total Births,360,280,2,78,Clatsop County,2021
Columbia Memorial Hospital,229,168,0,61,Clatsop County,2021
Providence Seaside Hospital,78,60,1,17,Clatsop County,2021
Astoria Birth Center LLC,45,44,1,0,Clatsop County,2021
Home Birth (Planned),8,8,0,0,Clatsop County,2021
Total Births,17,17,0,0,Columbia County,2021
Home Birth (Planned),16,16,0,0,Columbia County,2021
Home Birth (Unplanned),1,1,0,0,Columbia County,2021
Total Births,620,425,14,181,Coos County,2021
Bay Area Hospital,605,411,13,181,Coos County,2021
Home Birth (Planned),15,14,1,0,Coos County,2021
Total Births,17,16,1,0,Crook County,2021
St Charles Prineville,2,1,1,0,Crook County,2021
Home Birth (Planned),14,14,0,0,Crook County,2021
Home Birth (Unplanned),1,1,0,0,Crook County,2021
Total Births,6,6,0,0,Curry County,2021
Home Birth (Planned),6,6,0,0,Curry County,2021
Total Births,2326,1524,45,757,Deschutes County,2021
St Charles Medical Center - Bend,2230,1431,42,757,Deschutes County,2021
Bend Birth Center,8,8,0,0,Deschutes County,2021
Home Birth (Planned),79,76,3,0,Deschutes County,2021
Home Birth (Unplanned),5,5,0,0,Deschutes County,2021
Home Birth (Unknown if Planned),1,1,0,0,Deschutes County,2021
Other,3,3,0,0,Deschutes County,2021
Total Births,842,667,18,157,Douglas County,2021
Mercy Medical Center,818,643,18,157,Douglas County,2021
Home Birth (Planned),21,21,0,0,Douglas County,2021
Home Birth (Unplanned),2,2,0,0,Douglas County,2021
Home Birth (Unknown if Planned),1,1,0,0,Douglas County,2021
Total Births,38,34,0,4,Grant County,2021
Blue Mountain Hospital,35,31,0,4,Grant County,2021
Home Birth (Planned),3,3,0,0,Grant County,2021
Total Births,56,47,1,8,Harney County,2021
Harney District Hospital,55,46,1,8,Harney County,2021
Home Birth (Planned),1,1,0,0,Harney County,2021
Total Births,362,266,1,95,Hood River County,2021
Providence Hood River Memorial Hospital,349,253,1,95,Hood River County,2021
Home Birth (Planned),13,13,0,0,Hood River County,2021
Total Births,2486,1535,76,875,Jackson County,2021
Asante Ashland Community Hospital,237,169,1,67,Jackson County,2021
Providence Medford Medical Center,385,268,1,116,Jackson County,2021
Asante Rogue Regional Medical Center,1795,1032,71,692,Jackson County,2021
Home Birth (Planned),65,62,3,0,Jackson County,2021
Other,4,4,0,0,Jackson County,2021
Total Births,184,152,1,31,Jefferson County,2021
St Charles - Madras,173,142,0,31,Jefferson County,2021
Home Birth (Planned),10,9,1,0,Jefferson County,2021
Other,1,1,0,0,Jefferson County,2021
Total Births,839,652,2,185,Josephine County,2021
Asante Three Rivers Medical Center,746,560,1,185,Josephine County,2021
"Rogue Birth Center, LLC",66,66,0,0,Josephine County,2021
Home Birth (Planned),23,22,1,0,Josephine County,2021
Home Birth (Unplanned),1,1,0,0,Josephine County,2021
Other,3,3,0,0,Josephine County,2021
Total Births,754,569,3,182,Klamath County,2021
Sky Lakes Medical Center,722,538,2,182,Klamath County,2021
Klamath Birth Center,18,17,1,0,Klamath County,2021
Home Birth (Planned),12,12,0,0,Klamath County,2021
Home Birth (Unknown if Planned),1,1,0,0,Klamath County,2021
Other,1,1,0,0,Klamath County,2021
Total Births,87,56,0,31,Lake County,2021
Lake District Hospital,87,56,0,31,Lake County,2021
Total Births,3505,2240,75,1190,Lane County,2021
McKenzie-Willamette Medical Center,765,514,19,232,Lane County,2021
Peace Harbor Medical Center,45,37,0,8,Lane County,2021
Sacred Heart Medical Center - RiverBend,2552,1549,53,950,Lane County,2021
Home Birth (Planned),123,120,3,0,Lane County,2021
Home Birth (Unplanned),14,14,0,0,Lane County,2021
Home Birth (Unknown if Planned),1,1,0,0,Lane County,2021
Other,5,5,0,0,Lane County,2021
Total Births,299,209,3,87,Lincoln County,2021
Samaritan North Lincoln Hospital,117,73,1,43,Lincoln County,2021
Samaritan Pacific Communities Hospital,173,128,1,44,Lincoln County,2021
Home Birth (Planned),9,8,1,0,Lincoln County,2021
Total Births,787,585,8,194,Linn County,2021
Samaritan Albany General Hospital,420,296,2,122,Linn County,2021
Samaritan Lebanon Community Hospital,271,198,1,72,Linn County,2021
"Growing Family Birth Center, LLC",34,32,2,0,Linn County,2021
Home Birth (Planned),57,54,3,0,Linn County,2021
Home Birth (Unplanned),3,3,0,0,Linn County,2021
Home Birth (Unknown if Planned),1,1,0,0,Linn County,2021
Other,1,1,0,0,Linn County,2021
Total Births,422,299,4,119,Malheur County,2021
"St Alphonsus Medical Center - Ontario, Inc",417,294,4,119,Malheur County,2021
Home Birth (Planned),4,4,0,0,Malheur County,2021
Home Birth (Unplanned),1,1,0,0,Malheur County,2021
Total Births,4554,3107,128,1319,Marion County,2021
Salem Hospital,3052,1981,79,992,Marion County,2021
Santiam Memorial Hospital,188,140,1,47,Marion County,2021
Legacy Silverton Medical Center,1196,872,44,280,Marion County,2021
Aurora Birth Center,22,22,0,0,Marion County,2021
Home Birth (Planned),84,81,3,0,Marion County,2021
Home Birth (Unplanned),8,7,1,0,Marion County,2021
Other,4,4,0,0,Marion County,2021
Total Births,9464,6210,307,2947,Multnomah County,2021
Adventist Medical Center,497,329,16,152,Multnomah County,2021
Legacy Emanuel Medical Center,1727,1002,75,650,Multnomah County,2021
Legacy Good Samaritan Medical Center,942,648,9,285,Multnomah County,2021
Legacy Mount Hood Medical Center,782,545,26,211,Multnomah County,2021
OHSU Hospitals and Clinics,2502,1597,100,805,Multnomah County,2021
Providence Portland Medical Center,2524,1611,69,844,Multnomah County,2021
"Alma Midwifery Services, LLC",82,78,4,0,Multnomah County,2021
Andaluz Birth Center - Portland,92,92,0,0,Multnomah County,2021
Midwifery Birth Center,147,147,0,0,Multnomah County,2021
Home Birth (Planned),143,136,7,0,Multnomah County,2021
Home Birth (Unplanned),14,14,0,0,Multnomah County,2021
Other,12,11,1,0,Multnomah County,2021
Total Births,27,25,2,0,Polk County,2021
Salem Health West Valley Hospital,2,2,0,0,Polk County,2021
Home Birth (Planned),24,22,2,0,Polk County,2021
Home Birth (Unplanned),1,1,0,0,Polk County,2021
Total Births,151,109,1,41,Tillamook County,2021
Tillamook Regional Medical Center,145,103,1,41,Tillamook County,2021
Home Birth (Planned),6,6,0,0,Tillamook County,2021
Total Births,796,566,3,227,Umatilla County,2021
Good Shepherd Medical Center,425,320,1,104,Umatilla County,2021
St Anthony Hospital,364,239,2,123,Umatilla County,2021
Home Birth (Planned),5,5,0,0,Umatilla County,2021
Home Birth (Unplanned),2,2,0,0,Umatilla County,2021
Total Births,270,198,0,72,Union County,2021
Grande Ronde Hospital,261,189,0,72,Union County,2021
Home Birth (Planned),9,9,0,0,Union County,2021
Total Births,56,44,1,11,Wallowa County,2021
Wallowa Memorial Hospital,48,37,0,11,Wallowa County,2021
Home Birth (Planned),8,7,1,0,Wallowa County,2021
Total Births,215,148,0,67,Wasco County,2021
Mid-Columbia Medical Center,211,144,0,67,Wasco County,2021
Home Birth (Planned),3,3,0,0,Wasco County,2021
Home Birth (Unplanned),1,1,0,0,Wasco County,2021
Total Births,5849,3989,172,1688,Washington County,2021
Providence St Vincent Medical Center,3517,2265,101,1151,Washington County,2021
Hillsboro Medical Center,600,377,33,190,Washington County,2021
Kaiser Foundation Hospital - Westside,1613,1232,34,347,Washington County,2021
Canyon Medical Center,30,29,1,0,Washington County,2021
Home Birth (Planned),73,71,2,0,Washington County,2021
Home Birth (Unplanned),13,12,1,0,Washington County,2021
Other,3,3,0,0,Washington County,2021
Total Births,966,749,9,208,Yamhill County,2021
Providence Newberg Medical Center,499,374,5,120,Yamhill County,2021
Willamette Valley Medical Center,331,240,3,88,Yamhill County,2021
Bella Vie Gentle Birth Center,75,75,0,0,Yamhill County,2021
Andaluz - Dundee,35,34,1,0,Yamhill County,2021
Home Birth (Planned),24,24,0,0,Yamhill County,2021
Home Birth (Unplanned),2,2,0,0,Yamhill County,2021
